id,web_link,building_location,building_location_link,building_type,price,date_posted,rental_attr,neighbourhood,raw_description
11,https://ottawa.craigslist.org/apa/d/orleans-welcome-to-your-new-home/7184134927.html,6533 Richer Drive,"https://www.google.com/maps/search/45.467412,-75.528016",/ 2br - ,"$1,900",2020-08-25T14:25:28-0400,"c(""2BR / 1Ba"", ""available oct 1"", ""cats are OK - purrr"", ""dogs are OK - wooof"", ""apartment"", ""w/d in unit"", ""no smoking"", ""off-street parking"")",(Orleans),"Welcome to 6533 Richer Drive!

Welcome to Your New Home!

Stunning upper unit with 2 bedroom and 1 bathroom. 
What about location well, nestled in the great community of Chapel Hill, only a block and ½ away from St. Joseph Blvd. This apartment is located in a quiet neighbourhood in Orleans.Close to all amenities this place is ideal for a couple or a family. 

Specifications:
Included: Heat, Hydro, Water & Sewer and Furnace Rental
Included: Fridge, Stove, In-unit Washer/Dryer, Fireplace, Garage and Lawn Mower
Small Dogs or Cats allowed (15 lbs.)
Non-Smoking Unit 
Parking Available
Access to the yard (shared access)
Amenities
Restaurants: Pizza Hut and Tim Horton’s at 300 meters
Parks: Carriere Park at 100 meters
Shopping: St. Joseph Boulevard
Available: October 1st, 2020
Rent: $1900.00
Please feel free to give us a call at  
 ext 102
6533-A richer Drive, Ottawa K1C 4M7"
12,https://ottawa.craigslist.org/apa/d/ottawa-wonderful-st-ra-nd-breathtaking/7164967407.html,NA,NA,/ 2br - ,"$1,300",2020-07-24T07:31:39-0400,"c(""2BR / 2Ba"", ""apartment"")",(Ottawa),"The main living space is extremely large and flexible to accommodate a dining room, a living room and an office space! The spacious master bedroom offers double closets and its own ensuite"
13,https://ottawa.craigslist.org/apa/d/ottawa-ottawa-centretown-1-bedrm/7181985793.html,NA,NA,/ 1br - ,$934,2020-08-22T00:09:43-0400,"c(""1BR / 0Ba"", ""cats are OK - purrr"", ""dogs are OK - wooof"", ""furnished"", ""apartment"")","(442 McLeod St, Ottawa, ON K1R 5P6, Canada)","$934.00 per month, all inclusive (heat, water, WIFI) hydro.

Available October 01, 2020

Totally renovated, totally new, from ceiling, to wall, to floor, to structure, to studs, to heating system, to plumbing, to electricity, to roof, to anything you can think of, all new.

There are total 6 one bedroom executive apartments in this building, in centretown McLeod Street next to Kent Street, location, location, location. There is only one available. This one is a ground floor unit with a private balcony at back terrace.

Features and highlights:
	intercom / door bell/ keyless door entry systems at the front doors
	four piece bathrooms
	secure entrance
	Exceeds fire code requirements including full monitoring and pull stations; inspected annually with certificate
	All inclusive (heat, water, WIFI) hydro
	Building is secured by Surveillance Security Cameras 24/7
	Laundry facilities on premise
	Bright, big windows surround
	private balcony

References and one year lease required."
14,https://ottawa.craigslist.org/apa/d/gloucester-2-bedroom-2-bath-apartment/7181992670.html,NA,NA,/ 2br - ,"$1,245",2020-08-22T00:39:23-0400,"c(""2BR / 0Ba"", ""cats are OK - purrr"", ""dogs are OK - wooof"", ""furnished"", ""apartment"")","(2759 Carousel Crescent, Gloucester, ON K1T 2N5, Canada)","West facing corner unit which offers 2 BEDROOMS + SOLARIUM / 2 BATHROOMS including an ensuite , IN-UNIT LAUNDRY / PARKING & LOCKER. Beautifully landscaped grounds with a lovely in-ground pool. This wonderfully maintained building with on-site concierge features many amenities including the spectacular ROOF TOP TERRACE, exercise room, party room, guest suite, sauna, whirlpool, 2 squash courts. This open concept professionally painted unit is light & bright with generous livingrm & diningrm. You will fall in love with the SOLARIUM with its surrounded by greenery! The Large kitchen offers loads of cupboard/counter space. The Master Bedroom enjoys a 3 piece En-suite bathrm & ample closet space. An additional bedroom, 4 pc bathroom and in-unit laundry round out this apartment. A/C included. Underground Parking & Separate Locker are incld. 5 Appliances incld. Oct occupancy"
15,https://ottawa.craigslist.org/apa/d/gloucester-townhouse-for-rent-ottawa/7164880530.html,1001 Cedar Creek Dr near Miikana Rd,"https://www.google.com/maps/search/45.311847,-75.593398",/ 4br - ,"$2,500",2020-07-23T22:26:49-0400,"c(""4BR / 2.5Ba"", ""available dec 15"", ""townhouse"", ""w/d in unit"", ""no smoking"", ""attached garage"")",(Findlay Creek),"UTILITIES
Heating: Natural Gas: Tenant pays
Cooling: Central Air
Hydro: Hydro Ottawa: Tenant pays
Water: City of Ottawa: Tenant pays
HWT Rental: Tenant pays
INCLUDED: Window Coverings, Refrigerator, Stove, Dishwasher, Washer, Dryer
Ottawa, Findlay Creek. This 4 bedroom, 2.5 bathroom Townhouse is for rent! This House features a bright and modern kitchen with ample cupboards, pantry and stainless steel appliances. Kitchen opens to living/dining room! Lots of windows and GAS fireplace! Hardwood on main floor!!! The master bedroom is spacious with walk-in closet and en-suite. Secondary bedrooms are of good size! Carpets in Bedrooms. Laundry on second floor, conveniently close to bedrooms! Fully finished lower level with storage. Carpet in Basement. Central Air. Backyard offers a deck. Double Car garage. Close proximity to Restaurants, Shopping, Parks, Schools, Airport, Rideau Carleton Raceway and more!"
16,https://ottawa.craigslist.org/apa/d/hull-southeast-quiet-condo-by-the-river/7182374203.html,Rue Laurier,NA,/ 1br - 650ft,"$1,150",2020-08-22T15:55:51-0400,"c(""1BR / 1Ba"", ""650ft2"", ""available sep 1"", ""\n                        saturday 2020-08-22\n                    "", ""\n                        sunday 2020-08-23\n                    "", ""furnished"", ""condo"", ""laundry in bldg"", ""no smoking"", ""carport"")",(Hull),Quiet and spacious 1-bedroom condo located on main level with patio. 5 minute drive and 10 minute bus-ride to Byward Market. Close to the University of Ottawa and UQO. Fully furnished and ready for move-in. The unit will be freshly painted prior to move-in. Storage room in unit and 1 underground parking spot included. Convenience store and laundry room available inside the building. Cable and water included. Willing to consider shorter term or go month-to-month. Video tour: https://youtu.be/_LNX9XNiu9U Email with any questions.
17,https://ottawa.craigslist.org/apa/d/ottawa-523-dunbrack-st/7176109943.html,NA,NA,/ 3br - ,"$1,700",2020-08-12T13:14:47-0400,"c(""3BR / 2Ba"", ""cats are OK - purrr"", ""dogs are OK - wooof"", ""house"")","(Ottawa, ON)","Quiet & quaint, superbly located 1.5 storey home in Castle Heights. Minutes to St. Laurent Shopping Centre. Ottawa Technical Secondary School, parks, transit & restaurants nearby. Lovingly cared for by long-time owner for over 50 years! Gleaming hardwood floors in the open concept living & dining rooms, abundant with natural light from large front and side windows. Pets are welcome


Email me at: greganthony0990 gmail com"
18,https://ottawa.craigslist.org/apa/d/deep-river-deep-river-2-bedroom-1-bath/7182661619.html,25 Tamarack Street,"https://www.google.com/maps/search/46.107363,-77.506421",/ 2br - 850ft,"$1,450",2020-08-23T07:50:29-0400,"c(""2BR / 1Ba"", ""850ft2"", ""available oct 1"", ""EV charging"", ""furnished"", ""condo"", ""laundry in bldg"", ""no smoking"")",(Deep River),"Immaculate 2 bedroom, 1 bathroom ,fully furnished unit, parking, upgraded Apartment At Kerryhill Court Condominiums. The Unit Is Well Appointed And Maintained. Storage Space In Utility Room, Apt Has Natural Gas Heat And Central Air. Building Has Security System. The Superintendent Is Available 24/7. Snow Removal, Grass Cutting Is Included In The Mtce Fees. Laundry Facilities Shared On Main Level - ( $2.00 Wash & $2.00 - Dry). Party Rm Has Kitchenette, Tv, Library & Shufflebrd. Mins. To Shopping. Fridge, Stove, Elf's, Window Coverings. Asking $1450/month (utilities (heat, hydro, internet, cable NOT included)"
19,https://ottawa.craigslist.org/apa/d/ottawa-very-large-1br-in-sandy-hill/7177134418.html,NA,NA,/ 1br - ,$500,2020-08-14T07:28:47-0400,"c(""1BR / 1Ba"", ""available aug 14"", ""cats are OK - purrr"", ""dogs are OK - wooof"", ""apartment"", ""laundry in bldg"", ""wheelchair accessible"")",(Ottawa),"Very large 1BR in Sandy Hill available now. Steps from the market! Large windows face South, West and North. Strip hardwood floors, high ceilings, fireplace, large kitchen. Very well maintained heritage building. Storage included. $500 includes hydro and hot water tank rental. Heat and water included. Includes parking for 1 car. Coin-op laundry on-site. Please include your email address and a bit about yourself. Thanks. 


154 Daly Ave
Ottawa, ON K1N 6E9"
20,https://ottawa.craigslist.org/apa/d/ottawa-downtown-bachelor-condo-next-to/7182982281.html,195 near besserer street,"https://www.google.com/maps/search/45.436890,-75.702704",/ 440ft,"$1,650",2020-08-23T17:13:03-0400,"c(""0BR / 1Ba"", ""440ft2"", ""available sep 5"", ""apartment"", ""w/d in unit"", ""no smoking"")",(ottawa),"Features:

Bachelor condo

granite tops and breakfast bar in kitchen

dishwasher/microwave/fridge/Stove/

In suite washer/dryer/Balcony

Bathroom with shower/bathtub combo

City views (23th floor), Short walk to Rideau Centre, Parliament Hill, 5 minutes walk to University of Ottawa and the Transit way.

Heat and Water Included.



Amenities include a pool, gym, party room, bike storage, 24hr security.



No parking

Storage included

$1,650.00 plus hydro, no pets, no smoking


Available on Septemper 5, 2020  unit #2308"
21,https://ottawa.craigslist.org/apa/d/ottawa-sunny-large-quiet-1bed-1st-floor/7183118904.html,NA,NA,/ 2br - ,"$1,200",2020-08-23T22:01:51-0400,"c(""2BR / 1Ba"", ""available oct 1"", ""apartment"", ""laundry in bldg"", ""carport"")","(1113 Merivale Road, Ottawa, ON K1Z)","Get the most apartment for your money! Come and see for yourself! The Best Value in Ottawa!!! Large and bright 1 bedroom unit on first floor of clean and quiet small building. Close to experimental farm walking and biking trails. Please call Marie at  
 to arrange a visit! 
 This Spacious 1 Bedroom Unit features hardwood floors throughout, a large living/dining room, a large bedroom, large windows for maximum daylight and ventilation, ceramic in 3 piece bath, ceramic in a large kitchen, and in-apartment storage room. 

 This large and bright 1 bedroom Unit features 
 - hardwood and ceramic floors throughout, 
 - large windows for max sunlight and airflow 
 - 3 piece bath 
 - in-unit storage 


 Available immediately 
 1 Bed apt: $1200.00/month 

 Located on Merivale between Carling and Baseline, this well maintained, low rise very quiet & clean 15 unit apartment building is at the very center of Ottawa, providing quick access to downtown, Kanata, east end or South. 

 By car: 2 traffic lights to Queensway, Carling or Baseline 
 By bus: 1 minute walk to East/West/downtown/South bus routes (20 mins direct bus to downtown) 

 Close by: experimental farm Hiking/biking trails for the nature lover, Central Park, Civic hospital, Westgate Shopping Center, groceries and restaurants. 

 Distances: 
 Canadian food inspection agency: 1.3km 
 Agriculture and agrifood Canada: 1.4km 
 Royal Ottawa hospital: 1.5km 
 Civic Hospital: 2.4km 
 Carleton University: 4.1km 
 Algonquin College: 4.8km 

 Very affordable coin-operated laundry facilities are conveniently available onsite. 
 Private parking behind the building. 
 The Landlord provides a fridge and stove. 
 Tenants pay separate hydro 

Please contact Marie at  
 to arrange a visit"
22,https://ottawa.craigslist.org/apa/d/stittsville-kanata-new-urbandale-luxury/7181302020.html,44 Plank Street,"https://www.google.com/maps/search/45.284610,-75.899091",/ 2300ft,"$2,295",2020-08-20T21:51:29-0400,"c(""2300ft2"", ""available oct 1"", ""apartment"")",(Kanata),"8 months new energy star certified luxury house built by probably the best builder in the city at the highest level of craftsmanship and material. Located at a very convenient location of Kanata in Urbandale Bradley Commons community by Terry Fox Drive and Hazeldean Road, close to all amenities such as Walmart, Food Basics, Lowe’s, Home Depot, Costco, Canadian Tire Centre, Water Baker Park and Kanata Recreation Complex. A few minutes drive to Tanger Outlets, Kanata Centrum and DND campus. Model of Discovery End comes with 3 bedrooms and 2.5 bathrooms of around 2,300 sqft of living space including finished basement. Some highlights:
•	Hardwood on modern smoke grey color on the main floor, staircases and railings and all 2nd floor loft and hallway.
•	Contemporary elegant ceramic tiled ﬂoors in kitchen, laundry room, all bathrooms and entry.
•	High ceilings throughout: 9 ft ceiling on mail floor and an stunning 10 ft ceiling in the master bedroom of 2nd floor;
•	Very very large windows throughout;
•	Master bedroom comes with a French double door;
•	Extra-long kitchen island with quartz countertop;
•	Both main bath and ensuite washrooms vanity QUARTZ countertops come with double-sinks;
•	Upgraded kitchen hardwood cabinets with extra banks of drawers for pots and pans;
•	 36” higher than regular upper kitchen cabinetry allowing for extra kitchen storage; 
•	Luxury glass backsplash on the kitchen walls;
•	All kitchen appliances are the STAINLESS STEEL high end models; 
•	Smooth ceiling throughout;
•	Central air conditioner;
•	Basement laundry upgrade makes this house an extra 100 sqft larger than a regular Discovery end unit resulting in a very spacious 2nd floor;
•	Modern glass garage doors make the garage super bright. 
•	ENERGY STAR® Certiﬁed designates this Urbandale homes use 20% less energy than a house built to Code, with a corresponding decrease in energy costs.
•	LED lighting throughout home. 
•	For more details about this model, please check Urbandale’s website: https://urbandaleconstruction.com/models/discovery-end-unit/  

Virtual tour link for the builder’s model home: https://unbranded.youriguide.com/vW2SYDY74AXPD1
.

Available October 1st, 2020. Monthly rent $2,295 and tenants pay utilities (electricity, water, gas and hot water tank rental). Price applies to family only. Tenant MUST have excellent credit and stable income, No dogs please. Please email for showings.
44 Plank St.
Stittsville ON  K2V 0M4

Kanata townhouse, new, modern, Urbandale, DND"
23,https://ottawa.craigslist.org/apa/d/ottawa-apartment-condo-for-rent-ottawa/7183345364.html,234 Rideau St near Cumberland St,"https://www.google.com/maps/search/45.427917,-75.687429",/ 2br - ,"$2,395",2020-08-24T11:24:41-0400,"c(""2BR / 2Ba"", ""available aug 28"", ""apartment"", ""w/d in unit"", ""no smoking"", ""attached garage"")",(Downtown),"UTILITIES
Cooling: Central Air
Hydro: Hydro Ottawa: Tenant pays
INCLUDED: Window Blinds, Water, Heat, Storage Locker, One Underground Parking Spot, Refrigerator, Stove, Dishwasher, Washer, Dryer, Microwave (No Warranty)
Downtown Ottawa. Newer Condo for rent. Heat and Water Included! Corner Unit with plenty of natural light! Two bedrooms each with their own full en-suite. High end finishings, 6 appliances, gleaming hardwood floors, granite counter tops, breakfast bar, carpets in bedrooms, in-suite laundry, central air. Breathtaking views from the spacious balcony. Underground parking, storage locker and blinds included! Steps away from Ottawa's best shopping and cultural destinations. 24-hr Concierge. Amenities: The Plaza Club: rec center, pool, gym and sauna."
24,https://ottawa.craigslist.org/apa/d/ottawa-upper-apartment-for-rent-ottawa/7183346778.html,167 Gilmour St near Elgin St,"https://www.google.com/maps/search/45.417018,-75.688254",/ 2br - ,"$2,850",2020-08-24T11:26:34-0400,"c(""2BR / 2Ba"", ""available aug 28"", ""apartment"", ""w/d in unit"", ""no smoking"", ""attached garage"")",(Golden Triangle),"INCLUDED: Heat, Hydro, Water, HWT Rental, Refrigerator, Stove, Dishwasher, Washer, Dryer, Microwave (with Warranty)
Ottawa, Heritage House with private entrance in The Golden Triangle for rent! Perfect for work from home office. ALL UTILITIES INCLUDED! Executive 2 bedroom, 2 full bathroom Apartment across from the lovely Minto Park, off Elgin Street. Charming and elegant with large living/dining rooms perfect for entertaining. Kitchen includes all appliances, plenty of cupboards and pantry. Master Bedroom on third floor is spacious and includes 2 closets and a 3pce ensuite. Second bedroom is a great size (13’ x 11’) perfect for either a bedroom or office. One underground heated parking spot. A/C. Very quiet as the unit is above professional office. Significant indoor storage! Walking distance to The Rideau Canal, Lansdowne Park, Shops, Parks, Restaurants and so much more! 2 year lease preferred."
25,https://ottawa.craigslist.org/apa/d/orleans-new-price-townhouse-for-rent/7183347860.html,609 Petrichor Cr near Gerry Lalonde Dr,"https://www.google.com/maps/search/45.452078,-75.490223",/ 4br - ,"$2,395",2020-08-24T11:27:56-0400,"c(""4BR / 3.5Ba"", ""available sep 3"", ""townhouse"", ""w/d in unit"", ""no smoking"", ""attached garage"")",(Avalon),"UTILITIES
Heating: Natural Gas: Tenant pays
Cooling: Central Air
Hydro: Hydro Ottawa: Tenant pays
Water: City of Ottawa: Tenant pays
HWT Rental: Tenant pays
INCLUDED: Window Coverings, Refrigerator, Stove, Dishwasher, Washer, Dryer
Ottawa, Orleans (Avalon). Executive END UNIT Townhouse for rent with 4 bedrooms AND 3.5 bathrooms. Open concept main floor with living/dining rooms and gleaming hardwood floors. Eat-in kitchen with all stainless steel appliances, plenty of cupboards and counter space. Dining area with patio door that leads to the fenced backyard. Master bedroom is spacious w/ensuite, oversize glass shower and walk-in closet. 3 secondary bedrooms of good size on the upper level. Finished basement w/high ceiling, large window, gas fireplace, a 3rd full bathroom, finished laundry room and plenty of storage! Single Car Garage. A/C. Close to parks, bike paths, schools, transit and shopping!"
26,https://ottawa.craigslist.org/apa/d/orleans-brand-new-townhouse-for-rent/7180063016.html,576 Decoeur Dr near Mer Bleue Rd,"https://www.google.com/maps/search/45.446892,-75.483020",/ 3br - ,"$2,250",2020-08-18T22:28:25-0400,"c(""3BR / 2.5Ba"", ""available nov 1"", ""townhouse"", ""w/d in unit"", ""no smoking"", ""attached garage"")",(Orleans),"UTILITIES
Heating: Natural Gas: Tenant pays
Cooling: Central Air
Hydro: Hydro One: Tenant pays
Water: City of Ottawa: Tenant pays
HWT Rental: Tenant pays
INCLUDED: Window Coverings, Refrigerator, Stove, Dishwasher, Washer, Dryer, Microwave (No Warranty)
Ottawa, Orleans. BRAND NEW TOWNHOUSE by Minto for rent, the Monterey Model w/1754 Sq. Ft, 3 bedrooms and 2.5 bathrooms. Main with laminate floors. Bright, open concept living/dining room with patio door to the backyard. Kitchen features quartz counter tops, stainless steel appliances and spacious island. Master Bedroom boasts a walk-in closet, 4 pce ensuite. Secondary bedrooms of good size. Convenient second floor laundry! Finished lower level is spacious with cozy gas fireplace. A/C. Single garage. Close to transit, HWY 174, shopping, parks and schools."
